idx,target_size,target_distance,reaction_time
0,20.0,0.0,2054.0
1,16.710438,463.14532,930.0
2,28.997887,198.25008,666.0
3,33.769592,526.4766,782.0
4,27.093876,599.32056,1132.0
5,56.08875,627.94507,717.0
6,25.81742,428.3302,1219.0
7,33.02741,44.929028,598.0
8,13.989613,182.97044,983.0
9,16.51491,339.7883,1233.0
10,46.88426,337.24606,783.0
11,21.734814,345.45227,1099.0
12,44.78911,543.4788,699.0
13,25.870571,355.52213,1265.0
14,43.70452,303.60037,699.0
15,44.59607,99.06161,751.0
16,25.902985,338.81973,900.0
17,32.917763,352.05322,649.0
18,56.464535,266.29346,684.0
19,41.113503,372.83643,632.0
20,21.647903,265.3885,751.0
21,17.466812,208.44312,865.0
22,57.97098,471.87778,700.0
23,26.488806,539.2407,849.0
24,56.812103,241.37796,649.0
25,14.804325,462.04385,832.0
26,19.158165,268.32642,1050.0
27,48.55341,142.16911,683.0
28,42.3983,563.34845,698.0
29,30.093342,674.8291,800.0
30,58.949287,575.21704,699.0
31,37.790115,573.5634,800.0
32,25.342936,663.4051,932.0
33,43.988625,370.39893,666.0
34,40.725643,122.768265,733.0
35,46.993076,235.76137,666.0
36,51.508183,230.66083,666.0
37,46.895237,507.65503,750.0
38,14.816654,159.8885,849.0
39,25.771872,306.3759,750.0
40,24.644426,386.94785,734.0
41,35.013954,507.91058,749.0
42,28.00378,528.3135,750.0
43,50.80021,310.6746,1866.0
44,15.227291,345.03876,1402.0
45,51.533875,381.77475,667.0
