idx,target_size,target_distance,reaction_time
1,43.246365,208.56624,732.0
2,52.988552,224.79483,532.0
3,43.444454,351.3761,700.0
4,15.245137,434.7471,1001.0
5,33.151085,97.752556,633.0
6,41.135483,306.30817,649.0
7,42.63684,583.782,833.0
8,51.436726,708.3554,681.0
9,41.946526,353.7832,618.0
10,37.230812,383.51117,683.0
11,13.10688,369.02737,965.0
12,25.573112,141.29073,749.0
13,17.244688,83.9464,817.0
14,51.25209,473.52448,816.0
15,45.800106,224.51202,729.0
16,35.581528,452.62668,733.0
17,48.928284,169.73648,583.0
18,46.254475,266.9807,616.0
19,26.707167,366.73303,850.0
20,31.888802,149.66518,700.0
21,10.054821,507.11047,1316.0
22,59.811028,467.1726,649.0
23,49.665184,388.7618,732.0
24,51.98688,243.43582,515.0
25,56.734505,253.03896,584.0
26,14.637527,357.0923,965.0
27,57.012108,423.36545,800.0
28,12.15374,330.57303,816.0
29,51.477222,516.42413,815.0
30,24.626858,429.39328,766.0
31,15.00029,320.02722,1066.0
32,53.452217,678.08167,866.0
33,53.047436,572.8209,848.0
