idx,target_size,target_distance,reaction_time
1,23.740856,473.29333,7711.0
2,54.482918,580.1215,2418.0
3,13.824237,576.9656,3465.0
4,39.538498,285.8846,2183.0
5,48.66988,182.22249,2883.0
6,19.162012,603.3172,5000.0
7,55.67133,354.95868,2464.0
8,40.767494,188.46973,6919.0
9,48.628944,488.7553,3516.0
10,40.212723,274.16583,5872.0
11,32.71614,581.3123,4783.0
12,10.570997,555.66034,12133.0
13,22.112337,327.42905,3133.0
14,53.622173,162.67047,1685.0
15,42.807423,267.73895,1800.0
16,17.988312,339.84604,8015.0
17,15.744135,105.75755,3133.0
18,27.883915,434.28412,2439.0
19,37.968643,647.2557,2183.0
20,49.48554,203.67719,1799.0
21,32.10928,221.00745,4932.0
22,27.867046,284.05038,5882.0
23,47.847168,398.75464,4134.0
24,31.19209,278.71103,3534.0
25,10.515074,89.765045,4205.0
